New Code,New Name,Old Honolulu Code,Old Honolulu Name,Old Oahu Code,Old Oahu Name,Old Kaala Code,Old Kaala Name,Hex,Retired
BG09,Aquamarine,G326,Bright Blue,,,,,83cfce
BG114,Faded Teal,PB9,Cloud Blue,,,,,409bae
BG115,Dark Teal,,,G460,Deep Sky Blue,G460,Deep Sky Blue,5496a7
BG19,Sea Blue,G324,Aqua Blue,,,,,86d0d0
BG21,Mint Whisp,G320,Jade Green,,,,,e2f1e7
BG211,Spearmint,G360,Pond Green,G382,Pond Green,,,76c8ae
BG212,Bright Pine Green,G4,Mint Green Light,G473,Mint Green Light,,,38b999
BG213,Bright Parrot Green,,,,,G463,Bright Parrot Green,43ac90
BG215,Dark Pine Green,BG8,Teal,,,,,2d9581
BG22,Mint Mist,,,G693,Helsinki Green,,,cee9da
BG24,Sea Glass Blue,G420,Green Shadow,G786,Green Shadow,,,bde1cd
BG310,Seafoam Green,G340,Horizon Green,G190,Horizon Green,,,a6dbd2
BG311,Turquoise,PB10,Turquoise Green Light,G477,Turquoise Green Light,G477,Turquoise Green Light,68d0b7
BG312,Deep Turquoise,,,G471,Mint Green,,,44b2a5
BG313,Lake Green,,,,,G474,Lake Green,39b1a2
BG314,Peacock Green,BG6,Peacock Green,G862,Peacock Green,G862,Peacock Green,2b948e
BG315,Castleton Green,BG7,Forest Green,G850,Forest Green,G850,Forest Green,408982
BGY00,Cashmere Grey,BG050,Cool Grey 05,BG050,Cool Grey 050,,,d0d8d9
BGY02,Pigeon Grey,BG9,Pigeon Blue,,,,,b0bec3
BGY05,Shark Grey,,,BG082,Cool Grey 082,BG082,Cool Grey 082,879098
BGY08,Gentleman Grey,,,MG109,Blue Grey 109,N/A,New Codes Only,5f7582
BGY13,Seagull Grey,GG060,Green Grey 06,,,,,9aa4a9
BGY15,Blue Steel Grey,GG5,Green Gray 5,GG080,Green Grey 080,,,8e9da2
BGY17,Cyberspace,,,GG090,Green Grey 090,GG090,Green Grey 090,748087
BGY18,Graphite Grey,GG9,Green Grey 9,,,,,757c80
BGY24,Storm Grey,CGⅡ07,Cool Grey II 7,BG083,Cool Grey 083,BG083,Cool Grey 083,75828c
BGY25,Cracked Pepper,CGⅡ08,Cool Grey II 8,,,,,6f7883
BGY35,Iron Grey,CGⅡ09,Cool Grey II 9,,,,,6a707a
BGY36,Navy Grey,,,BG120,Cool grey 120,,,646f79
BGY38,Charcoal Grey,NG09,Neutral Grey 9,CG140,Neutral Grey 140,,,55575d
BV013,French Ultramarine,B380,Capri Blue,B572,Capri Blue,,,4867b1
BV014,Ultramarine,,,B768,Stratospheric Blue,,,3561ad
BV015,Deep Ultramarine,B440,Cyanine Blue,,,,,4e60ac
BV03,Powder Blue,,,B991,Pale Blue Gray,,,dae2f3
BV04,Light Cornflower,,,B188,Light Hydrangea,,,bcd1ed
BV05,Cornflower,B340,Lavender Blue,B287,Lavender Mist,,,9bc0e6
BV08,Havelock Blue,B350,Cornflower Blue,,,,,7ca7d5
BV09,Deep Cornflower,,,B369,Purplish Blue,,,698ec8
BV115,Shadow Blue,V450,Dark Lavender,,,,,737698
BV15,Dusty Periwinkle,V340,Lavender Blue,,,,,b8c1d8
BV18,Hydrangea Blue,V350,Hydrangea Blue,V281,Hydrangea Blue,,,a0a7d0
BV19,Blue Iris,,,B271,Grayish Blue,N/A,New Codes Only,9da2c3
BV210,Blueberry,V390,Dark Slate Blue,V473,Dark Slate Blue,,,5968af
BV26,Pale Blue Violet,R25,Pale Blue Violet,B281,Pale Blue Violet,B281,Pale Blue Violet,abb4db
BV27,Bluebell,,,V377,Light Purple,,,8b9ace
BV28,Bluebonnet,V370,Blue Bell,V381,Blue Bell,,,6c83c1
BV29,Iris,R13,Clematis,,,,,6778ab
BV31,Cloud Blue,BG3,Blue Grey 3,MG011,Blue Grey 011,MG011,Blue Grey 011,e0eef4
BV310,Brilliant Blue,PB2,Brilliant Blue,B575,Brilliant Blue,B575,Brilliant Blue,264fb3
BV311,Royal Blue,B180,Vienna Blue,B672,Vienna Blue,,,2471b8
BV312,Deep Royal Blue,B190,Ultramarine,B878,Ultramarine,,,2670b7
BV314,Lapis Lazuli,PB3,Cobalt Blue,B659,Cobalt Blue,,,5176a7
BV315,Cobalt Blue,PB4,Napoleon Blue,B953,Napoleon Blue,B953,Napoleon Blue,43719b
BV316,Prussian Blue,,,,,B288,Lapis Lazuli,496d9b
BV32,Pale Sky Blue,B220,Pale Grayish Blue,,,,,d5e9f2
BV34,Ice Blue,,,B194,Horizon Blue,,,c5ddec
BV35,Arctic Blue,B120,Pale Blue,B193,Pale Blue,,,accce3
BV37,Glacier Blue,,,B294,Galaxy Blue,,,79b1db
BV38,Sky Blue,PB1,Sky Blue,B290,Sky Blue,B290,Sky Blue,80aaff
BV39,Pale Cerulean Blue,B170,Hyacinth,,,,,6596cc
BV414,Denim Blue,B270,Vivid Blue,B383,Vivid Blue,,,6e98b7
BV415,Antwerp,B290,Antwerp Blue,B563,Antwerp Blue,,,4d88a9
BV45,Pale Hyacinth,B150,Phthalo Blue,,,,,94bde2
BV48,Distressed Denim,B260,Smoky Blue,B291,Smoky Blue,,,97b4cf
BV514,Vintage Navy,PB5,Prussian Blue,B463,Prussian Blue,B463,Prussian Blue,59739b
BV515,Navy,B300,Marina,,,,,546e90
BV58,Crystal Blue,B140,Aquamarine,,,,,81c6e9
BV59,Summer Sky,,,B384,Hydron Blue,,,77a6d9
CG01,Cloud Grey,CG020,Neutral Grey 02,,,,,eaeaeb
CG02,Light Grey,CG030,Neutral Grey 03,,,,,e0e4e8
CG03,Beacon Grey,,,CG022,Neutral Grey 022,,,dde4e7
CG13,Thundercloud Grey,,,CG023,Neutral Grey 023,N/A,New Codes Only,dbdddf
CG14,Pewter Grey,,,CG040,Neutral Grey 040,,,cfd0d2
CG15,Slate Grey,,,,,CG081,Slategray,b1b7bb
CG16,Neutral Grey,,,,,CG083,Neutral Grey,acb4b9
CG17,Cool Grey,CG5,Cool Grey II 5,BG081,Cool Grey 081,,,9aa3ac
CG18,Icy Grey,CGⅡ04,Cool Grey II 4,,,,,97a2ab
CG24,Grey,CG050,Neutral Grey 05,,,,,b2b8bb
CG25,Deep Grey,NG03,Neutral Grey 3,CG041,Neutral Grey 041,,,a1a7a9
CG26,Anchor Grey,,,CG051,Neutral Grey 051,CG051,Neutral Grey 051,999fa3
CG27,Dark Grey,,,CG071,Neutral Grey 071,N/A,New Codes Only,868a92
CG28,Web Grey,CG070,Neutral Grey 07,CG070,Neutral Grey 070,,,7e848b
E011,Pale Camo Green,E434,Dragon Well Tea,,,,,a7a696
E03,Pale Sage,,,G391,Pale Moss,,,eaebdc
E05,Pale Moss,G220,Lime Green,,,,,dee4cb
E06,Bog Mist Geen,E432,Vert Celadon,,,,,d5d0bd
E111,Pewter Green,YG100,Yellow Grey 100,YG100,Yellow Grey 100,,,b5a696
E13,Limestone,,,E195,Shell White,,,d8ceba
E14,Khaki Beige,YG040,Yellow Grey 04,,,,,d5caba
E17,Sage Grey,Y250,Flax,,,,,d3c7a7
E19,Dried Sage,YG080,Yellow Grey 08,,,,,cabea7
E211,Light Elm Wood,E440,Khaki,,,,,cfb38c
E212,Dusty Olive,Y7,Dull Yellow,,,,,baa67d
E215,Dark Khaki Green,,,YG130,Yellow Grey 130,,,786b5f
E22,Lime Juice,GY173,Dim Green,,,,,f0e3c3
E26,Pale Celery,Y230,Deep Cream,Y190,Deep Cream,,,e8d0ad
E30,French Grey,,,E989,Further Color of Skin,,,ddcfbf
E311,Sandbar Brpwn,E300,Clay,,,,,af9e89
E312,Fennel Seed,,,E463,Walnut,E463,Walnut,af967a
E313,Swamp Mud,E450,Fennel Seed,,,,,8d7a67
E314,Military Olive,E460,Military Olive,,,,,78685e
E315,Vandyke Brown,,,E440,Bronze,E440,Bronze,7b6c63
E36,Old Salem Grey,,,E289,Lye Color,,,d7c1a3
E411,Tumbleweed,,,E475,Tumbleweed,,,c59274
E413,Dark Brown,E310,Dark Brown,E460,Dark Brown,,,9a7d72
E415,Cedar Brown,BR1,Raw Umber,E557,Raw Umber,E557,Raw Umber,704123
E44,Soft Sand,E160,Soft Sun,,,,,f6d3b4
E46,Coral Sand,E220,Sand,,,,,ecb796
E47,Camel,YR209,Hazelnuts,E288,Hazelnuts,E288,Hazelnuts,dcb092
E49,Honey Brown,Y145,Bettercup Yellow,E294,Buttercup Yellow,E294,Buttercup Yellow,d7a792
E511,Chocolate Mocha,Y12,Mahogany,E357,Mahogany,E357,Mahogany,96716b
E512,Espresso,,,,,E340,Burnt Sienna,846e6a
E513,Taupe Brown,YR95,Burnt Sienna,E340 ,Burnt Sienna,,,82726e
E514,Dark Chocolate,YR92,Chocolate,E342,Chocolate,E342,Chocolate,7a6966
E515,Black Brown,Y13,Chestnut Brown,E533,Chestnut Brown,E533,Chestnut Brown,635756
E57,Cappuccino,,,,,E198,Light Grey Orange,cca694
E58,Fawn Brown,E170,Caribe Cocoa,,,,,c39886
E59,Chestnut,YR9,Yellow Ochre,E367,Caramel,E367,Caramel,ab7a6c
E610,Light Mahogany,E060,Light Mahogany,,,,,a14b23
E612,Brick Brown,YR10,Brun,E558,Brun,E558,Brun,a37871
E613,Reddish Brown,,,E769,Brick Brown,E769,Brick Brown,99655f
E614,Maple Syrup,E130,Copper,,,,,8d6660
E615,Cherry Cola,YR91,Natural Oak,E644,Natural Oak,E644,Natural Oak,7c564f
E64,Light Taupe,,,E180,Shallow Camelia,,,cbaca2
E66,Light Fawn,YR148,Thin Persimmon,E189,Thin Persimmon,,,c8a092
E69,Russet Brown,E120,Reddish Brown,E373,Reddish Brass,,,b27a6f
E710,Copper Brown,,,E363,Red Bean,,,c28d88
E711,Old Mahogany,R27,Pale Mauve,E364,Pale Mauve,E364,Pale Mauve,a87e7a
E712,Sweet Rosy Brown,,,E355,Madder Red,,,a77477
E713,Red Bean,R284,Clove,,,,,976368
E714,Madder Brown,,,R446,Red Bean Paste,R446,Red Bean Paste,895a5d
E75,Light Rose Taupe,R26,Honey [Tonoimo],E190,Honey,E190,Honey,e3b2a9
E81,Spanish Pink,R30,Pale Cherry Pink,R192,Pinkish Vanilla,R192,Pinkish Vanilla,f6d5d2
E814,Caput Mortuum,R28,Colocasia Tonoimo,E258,Colocasia Tonoimo,E258,Colocasia Tonoimo,826b6c
E85,Cherry Taupe,E050,Lipstick Natural,E183,Lipstick Natural,,,c38379
E912,Hearthstone,,,E262,Tan,E262,Tan,a68681
E913,Walnut Brown,,,E356,Maroon,,,8c7372
E914,Bark Brown,E430,Pecan,,,,,816867
E915,Dark Bark Brown,,,E530,Dark Bark,,,625754
E92,Ash Rose,E380,Ash Rose,,,,,ddccc6
E93,Rosy Grey,,,E188,Champagne,,,d7bfb9
E97,Deep Rose Grey,E400,Cocoa Brown,,,,,bca09b
FY00,Fluorescent Yellow,FY010,Fluorescent Yellow,FY010,Fluorescent Yellow,,,efff59
FY01,Fluorescent Orange,FY020,Fluorescent Orange,FY020,Fluorescent Orange,,,ff8a28
FY02,Fluorescent Red,FY030,Fluorescent Red,FY030,Fluorescent Red,,,ff5972
FY04,Fluorescent Violet,FY050,Fluorescent Violet,FY050,Fluorescent Violet,,,6a29ff
FY03,Fluorescent Pink,,,FY040,Fluorescent Pink,,,ea73ad
G012,Mineral Green,G330,Mineral Green,,,,,9abeb6
G013,Muted Turquoise,BG5,Dolphin Blue,,,,,7cb1b0
G112,Pale Cobalt Green,G9,Meadow Green,G177,Porcelain Blue,G177,Porcelain Blue,8fb7ab
G113,Dusty Jade Green,G6,Dusty Jade Green,,,,,71a798
G114,Aged Pine Green,G5,Turquoise Ink Blue,,,,,68988e
G210,Sea Green,G490,Viridian Green,G370,Viridian,,,7cb79d
G213,Rainforest Green,,,G458,Hunter Green,G458,Hunter Green,518f73
G215,Dark Green,,,G448,Dark Green,N/A,New Codes Only,507f6f
G24,Celadon,G410,Light Holly Green,G493,Light Holly Green,,,bdd0bf
G29,Faded Green,,,G271,Lieberman Green,,,8cb29c
G310,Shamrock Green,G2,Vivid Green,G472,Vivid Green,G472,Vivid Green,6bb180
G311,Jade Green,G3,Ocean Green,,,,,5fbf8d
G312,Emerald Green,G1,Emerald Green,G750,Emerald Green,G750,Emerald Green,13904d
G313,Green,G390,Green,,,,,3e8969
G315,Dark Emerald,BG1,Turquoise Green,G950,Turquoise Green,G950,Turquoise Green,004b26
G316,Deep Jade Green,BG2,Deep Green,G840,Deep Green,G840,Deep Green,44756b
G34,Pale Green,G120,Yellowish Green,G794,Yellowish Green,,,c8e5c9
G36,Glass Green,G8,Glass Green,,,,,9adea3
G41,Peppermint,G110,Mignonette,G796,Mignonette,,,d4ead0
G410,Grass Green,GY2,Grass Green,G483,Grass Green,G483,Grass Green,91bb76
G43,Vintage Pale Green,GY172,Spectrum Green,,,,,d6e6cc
G44,Sea Glass Green,G440,Leaf Green,G185,Leaf Green,,,b8ddba
G47,Spring Green,G140,Horseradish,G189,Horseradish,,,a4d49a
G48,Lettuce,G150,Lettuce Green,,,,,89c589
G49,Sour Apple,GY1,Pale Green,G284,Pale Green,G284,Pale Green,b3e187
GG03,Silver Cloud,GG1,Green Grey 1,GG010,Green Grey 010,GG010,Green Grey 010,ccdbd8
GG05,Evergreen Fog,GG3,Green Grey 3,GG030,Green Grey 030,GG030,Green Grey 030,96a9a8
GG07,Steel Grey,GG110,Toner Grey,,,,,868a8d
GG10,Soft Cool Grey,CG2,Cool Grey II 2,BG042,Cool Grey 042,BG042,Cool Grey 042,ced0d2
GG11,Fog Grey,BG060,Deep Cool Grey,BG043,Cool Grey 043,BG043,Cool Grey 043,b5b9be
GG12,Pastel Icy Grey,BG070,Cool Grey 07,BG080,Cool Grey 080,,,a6b6bd
GG15,Dark Neutral Grey,NG07,Neutral Grey 7,CG090,Neutral Grey 090,,,656970
GG16,Dark Anchor Grey,NG06,Neutral Grey 6,CG080,Neutral Grey 080,N/A,New Codes Only,6c7177
GG18,Eclipse Grey,,,CG130,Neutral Grey 130,CG130,Neutral Grey 130,60646d
GG20,Pale Grey,,,CG021,Neutral Grey 021,N/A,New Codes Only,dbe0dd
GG24,Wispy Grey,GG020,Green Grey 02,,,,,c9cec9
GG25,Pilgrim Haze,GG040,Light Jade Green Grey,,,,,b2bfbb
GG28,Rock Bottom Grey,,,YG140,Yellow Grey 140,,,727673
R012,Fruit Punch,R070,Agate,,,,,e66661
R013,Tomato,Y5,Rouge Orange,,,,,de6e64
R014,Deep Vemilion,R2,Vermilion,R687,Vermillion,,,df3e35
R015,Crimson,R3,Coral Red,R586,Coral Red,R586,Coral Red,b14f5a
R016,Chili Red,R180,Bright Red,,,,,af4545
R111,Hot Pink Carnation,,,R588,Scarlet,R588,Scarlet,e5727e
R112,Reddish Pink,R150,Zinnober,,,,,eb6f77
R114,Scarlet,,,,,R688,Bright Orange,d55157
R12,Pale Coral Pink,R100,Blush,,,,,fbd1ca
R14,Sheer Peach,YR050,Spring Orange,,,,,f9bdb6
R15,Lychee Juice,R110,Sardonyx,R197,Sardonyx,,,f9bfbb
R16,Light Salmon,R21,Fruit Pink,R193,Fruit Pink,,,f9c3c2
R17,Baby Pink,,,,,R188,Baby Skin Pink,fac4c5
R19,Amsterdam Rose,,,R394,Light Rouge,,,e17b82
R210,Deep Blush,R1,Coral Pink ,R393,Coral Pink,R393,Coral Pink,ff6565
R211,Ruby,R230,Strong Red,,,,,b35773
R212,Mulberry,R170,Lipstick Red,,,,,bb5777
R213,Pomegranate,R6,Rose Red,RV783,Rose Red,RV783,Rose Red,b9576d
R214,Cranberry,,,R872,Tomato,R872,Tomato,af5065
R215,Morello Cherry,R8,Geranium,R865,Geranium,R865,Geranium,a4000a
R22,Ballet Pink,RV260,Pink,,,,,fcdfe5
R23,Sakura,RV270,Shadow Pink,RV193,Shadow Pink ,,,fbd4dc
R25,Tender Pink,RV300,Tender Pink,,,,,f7aac1
R26,Valentine Pink,R190,Bougainvillaea,,,,,eea0b8
R27,Pink Satin,R120,Light Prawn,R296,Light Prawn,,,e690ab
R28,Pink Carnation,R9,Pastel Rose,R293,Pastel Rose,R293,Pastel Rose,ff7e9e
R310,Purplish Pink,RV330,Strawberry Pink,RV591,Strawberry Pink,,,cd7598
R312,Magneta,RV350,Crimson,,,,,bd5d7b
R38,Rose Pink,R23,Rose Pink,RV390,Rose Pink,RV390,Rose Pink,e58ead
R410,Raspberry,R160,Cadmium Red,,,,,d96b7b
R412,Cerise,R4,Deep Red,R584,Coral Haze,N/A,New Codes Only,ce5872
R413,Amaranth,R5,Cherry Pink,RV687,Cherry Pink,,,bf5b75
R414,Light Maroon,,,R585,Vivid Red ,R585,Vivid Red ,bb667c
R46,Old Rose,R12,Rose Buvard,,,,,da8992
R48,Cherry Rose,R200,Coralessence,R490,Coral,,,e07488
R50,Orchid Wisp,R242,Grayish Cherry,R495,Grayish Cherry,,,f8e5eb
R510,Wine Red,,,R457,Wine Red,R457,Wine Red,8e5768
R513,Deep Wine,R290,Cardinal,R455,Cardinal,,,925b68
R514,Prune Juice,R7,Old Red,RV757,Old Red,RV757,Old Red,8f586c
R515,French Roast Coffee,,,,,R573,Grape Ash,7a5d60
R54,Lavender Fog,R250,Antique Fuchsia,R189,Antique Fuchsia,,,dfc2ce
R56,Puce,R270,Baby Blossoms,,,,,d1abb8
R57,Rose Dust,R280,Currant,R278,Currant,,,c0889e
R58,Garnet Rose,,,R480,Garnet Rose,,,b67084
R59,Wine Berry,R240,Garnet,R468,Garnet,,,9c5e73
R612,Raisin,R340,Argyle Purple,R247,Argyle Purple,,,81636e
R613,Burgundy Bark,,,R341,Russet Brown,,,7d6469
R615,Black Grape,R350,Dark Purple Grey,,,,,6e6069
R68,Deep Mauve,,,R275,Orchid Smoke,R275,Orchid Smoke,a5828e
R69,Dark Mauve,R282,Colocasia Tonorino,,,,,9e777e
RV01,Water Lily,RV010,Water Lily,,,,,fcf2f7
RV02,Pale Pink Rose,RV120,Pale Pink,,,,,fce6f0
RV04,Light Orchid,RV030,Light Hot Pink,RV910,Light Hot Pink,,,f3bfd8
RV05,Pink Pearl,RV280,Light Pink,RV198,Light Pink,,,f8b9d4
RV07,Light Disco Pink,RV050,Lavender Pink,,,,,f0a2c7
RV08,Pastel Pink,R10,Pastel Pink,RV210,Pastel Pink,N/A,New Codes Only,ff91cd
RV09,Disco Pink,RV070,Sakura Pink,RV394,Sakura Pink,,,f286b6
RV111,Hot Pink,RP6,Vivid Pink,RV610,Vivid Pink,RV610,Vivid Pink,ed5ea2
RV17,Pink,R22,Dark Blush,R295,Dark Blush,R295,Dark Blush,f6a6bd
RV18,Sheer Peach,R14,Pale Purple,RV211,Pale Purple,,,f498b8
RV19,Dahlia Pink,R15,Cerise,RV398,Cerise,N/A,New Codes Only,f38ebb
RV210,Red Violet,,,RV477,Calamus Color,N/A,New Codes Only,bd6e9c
RV211,Dragonfruit Pink,,,RV593,Fuchsia,,,d45193
RV212,Rich Raspberry,RP1,Vivid Reddish Purple,RV789,Vivid Reddish Purple,RV789,Vivid Reddish Purple,f5229b
RV23,Pink Wisp,RV130,Queen Pink,RV192,Queen Pink,,,f8d7e7
RV24,Dull Pink,,,RV194,Medium Pink,RV194,Medium Pink,f3bbd6
RV25,Rosy Lilac,RV180,Hollyhock,RV295,Hollyhock,,,ecb3d2
RV27,Orchid Pink,,,RV380,Raspberry,,,d88ebd
RV28,Hibiscus Pink,RV200,Dark Orchid,RV288,Mineral Violet,,,d189ae
RV29,Plum Pink,RV320,Apricot Pink,RV490,Apricot Pink,,,cf7aa5
RV31,Lilac Mist,,,RV195,Cotton Candy,,,f6deeb
RV310,Fuchsia,RV100,Red Onion,,,,,d465a3
RV311,Pansy,P2,Light Violet,V567,Light Violet,V567,Light Violet,bc0fa1
RV313,Dark Pansy,,,RV777,Azalea Purple,N/A,New Codes Only,b64597
RV314,Grape Juice,P1,Vivid Purple,RV968,Vivid Purple,RV968,Vivid Purple,ae0777
RV315,Deep Pansy,,,,,V286,Hydrangea Violet,87487d
RV316,Grape Jelly,R16,Deep Violet,V651,Deep Violet,,,804e83
RV32,Lilac Blush,V140,Begonia,V192,Begonia,,,f7dfec
RV33,Thistle,RV160,Thistle,,,,,eacde2
RV34,Faded Lilac,V020,Pale Lilac,,,,,ebcce2
RV35,Bright Lilac,V150,Mallow,V191,Mallow,,,e2c0db
RV39,Bright Fuchsia,RV080,Bright Pink,RV497,Bright Pink,,,c776af
RV45,Plum Blossom,,,R186,Dark Pink,R186,Dark Pink,d1b2c7
RV514,Violet Merlot,RV240,Bronze Purple,RV457,Bronze Purple,,,956683
RV515,Ripe Mulberry,RV250,Peony,RV649,Peony,,,895a7d
RV53,Lilac,,,V789,Light Peach,,,d9c4df
RV57,Dark lilac,V160,Deep Lilac,V185,Deep Lilac,,,d0a7ce
RV58,Deep Lilac,,,V280,Jacaranda,V280,Jacaranda,c492ba
V010,Faded Violet,P4,Lavender,V369,Lavender,V369,Lavender,a76ab7
V013,Violet,V210,Signal Violet,V460,Signal Violet,,,8a639a
V015,Deep Violet,V080,Dark Violet,V463,Dark Violet,,,887497
V016,Eggplant,V090,Deep Purple,V449,Deep Purple,,,776288
V07,Smoky Lavender,,,V276,Royal Light,V276,Royal Light,a190c4
V08,Light Violet,V050,Pearl Violet,,,,,a68ac0
V09,Vintage Purple,,,V268,Violet,,,9e7db8
V112,Vivid Violet,V070,Eggplant Purple,,,,,a372b1
V12,Dusty Orchid,,,V890,Pale Hibiscus,,,e0d3e8
V13,Greyed Lavender,R11,Mauve Shadow,V891,Mauve Shadow,V891,Mauve Shadow,d9cee4
V14,Pale Purple,V030,Mauve,,,,,cbb3d6
V15,Wisteria,,,,,V285,Soft Violet,c1b0d3
V18,Bright Lavender,P3,Pastel Violet,V284,Pastel Violet,,,d293ce
V214,Purple,,,V660,Blue Violet,V660,Blue Violet,785ea8
V216,Morning Glory,R17,Pansy,,,,,625ba8
V22,Lavender Wisp,V230,Viola,,,,,d7cde5
V23,Pale Lavender,,,V188,Sakura Purple,N/A,New Codes Only,cfc8e2
V24,Evening Petunia,,,V287,Purple Mallow,V287,Purple Mallow,beb2d8
V25,Violet Rose,,,V289,Mentha Piperita,N/A,New Codes Only,c3add3
V29,Dull Violet,V060,Amethyst,V380,Amethyst,,,9186b5
V32,Icy Periwinkle,V322,Rain Flower Purple,V889,Rain Flower Purple,,,dae4f1
V33,Lavender Mist,,,B990,Pale Lavender,B990,Pale Lavender,d9dff0
V34,Periwinkle,V330,Prune,,,,,d4d5eb
V35,Lavender Silk,,,V187,Vine Purple,,,bbbade
V38,Deep Periwinkle,R24,Dark Violet Light,V189,Dark Violet Light,V189,Dark Violet Light,a7acd7
V411,Lavender Indigo,,,V366,Potato Purple,,,938ec5
V412,Lobelia,V270,Lobella,,,,,988dc4
V413,Blue Violet,,,V558,Rust Purple,,,7673b1
V414,Electric Indigo,V320,Gentian Violet,,,,,6d6aa8
V416,Deep Purple,P5,Aubergine,,,,,290069
V46,Lavender,V250,Light Lavender,,,,,aaa2d0
WG01,Lite Lavender,RG110,Red Grey 11,,,,,e1d9de
WG04,Icy Lavender,RG120,Red Grey 12,,,,,d2ccd1
WG05,Lavender Grey,,,RG140,Red Grey 140,,,d1cbd1
WG06,Star Dust,RG150,Red Grey 150,RG160,Red Grey 160,,,aca4ad
WG08,Heathered Grape,RG080,Red Grey 08,RG080,Red Grey 080,,,8f878f
WG10,Porcelain,CGⅡ00,Cool Grey II 0,BG038,Cool Grey 038,N/A,New Codes Only,efedef
WG12,Smoke White,,,BG041,Cool Grey 041,BG041,Cool Grey 041,e6e5e8
WG23,Dorian Grey,,,WG160,Warm Grey 160,WG160,Warm Grey 160,cfcccb
WG24,Pavestone Grey,,,RG040,Red Grey 040,,,c3bbbc
WG26,Silver Grey,WG3,Warm Grey 3,,,,,b7b0b1
WG27,Antique Silver,WG4,Warm Grey 4,WG170,Warm Grey 170,WG170,Warm Grey 170,a3a0a0
WG28,Jet Grey,,,WG180,Warm Grey 180,N/A,New Codes Only,8d898b
WG35,Peppercorn Grey,,,WG190,Warm Grey 190,WG190,Warm Grey 190,807779
WG36,Deep Slate Grey,,,WG200,Warm Grey 200,N/A,New Codes Only,666063
WG37,Dark Charcoal,WG09,Warm Grey 9,,,,,676467
WG38,Caviar,WG130,Warm Grey 13,,,,,56585b
Y00,Lemon Mist,Y010,Primrose,,,,,fcfbea
Y02,Lemon Chiffon,Y030,Lemon Chiffon,Y196,Lemon Chiffon,,,f4eebb
Y03,Pastel Yellow,G030,Crescent Yellow,G193,Crescent Yellow,,,f5f3c4
Y06,Butter,Y040,Calamansi ,,,,,f4e793
Y07,Banana Cream,GY6,Anise,,,,,fdf698
Y08,Pineapple,,,Y397,Canaria Yellow,Y397,Canaria Yellow,ecd384
Y09,Summer Lemon,Y050,Summer Lemon,,,,,e9cf78
Y110,Honeybee Yellow,Y090,Deep Lemon,,,,,f5bc56
Y111,Mustard,Y2,Sunflower,Y696,Sunflower,Y696,Sunflower,f0af42
Y14,Pale Lemon Yellow,G020,Pale Lemon Yellow,G195,Pale Lemon Yellow,,,eff0a1
Y17,Bright Lemon Yellow,Y080,Lightning Yellow,,,,,f1e472
Y19,Canary,Y070,Acid Yellow,,,,,f3cf48
